Source,Target,Type,Weight
Paper_1,measure firm-level technology convergence capability,HAS_PURPOSE,1.0
Paper_1,understand innovation strategy for technological capabilities,HAS_PURPOSE,1.0
Paper_1,convergence between manufacturing technology and Industry 4.0 foundation technologies,HAS_BACKGROUND,1.0
Paper_1,previous work on innovation strategy,HAS_BACKGROUND,1.0
Paper_1,patent network analysis,HAS_METHODOLOGY,1.0
Paper_1,three centrality indices,HAS_METHODOLOGY,1.0
Paper_1,panel regression,HAS_METHODOLOGY,1.0
Paper_1,empirical analysis on top 30 firms,HAS_METHODOLOGY,1.0
Paper_1,TC degree positively influences overall innovation,HAS_RESULTS,1.0
Paper_1,TC degree negatively influences convergent innovation,HAS_RESULTS,1.0
Paper_1,TC betweenness has opposite effect,HAS_RESULTS,1.0
Paper_1,convergent innovation is ratio of TC patents to total patents,HAS_RESULTS,1.0
Paper_2,Propose hybrid-patent-classification approach,HAS_PURPOSE,1.0
Paper_2,Effective patent management essential,HAS_BACKGROUND,1.0
Paper_2,Patent classification critical,HAS_BACKGROUND,1.0
Paper_2,Conventional classification methods exist,HAS_BACKGROUND,1.0
Paper_2,Hybrid approach combining novel patent-network-based method,HAS_METHODOLOGY,1.0
Paper_2,Three conventional methods,HAS_METHODOLOGY,1.0
Paper_2,Content-based classification,HAS_METHODOLOGY,1.0
Paper_2,Citation-based classification,HAS_METHODOLOGY,1.0
Paper_2,Metadata-based classification,HAS_METHODOLOGY,1.0
Paper_2,Modified k-nearest neighbor classifier,HAS_METHODOLOGY,1.0
Paper_2,Reachable nodes analysis,HAS_METHODOLOGY,1.0
Paper_2,Relevance calculation,HAS_METHODOLOGY,1.0
Paper_2,Hybrid approach yields more accurate class predictions,HAS_RESULTS,1.0
Paper_2,Outperforms conventional methods,HAS_RESULTS,1.0
Paper_2,Patent-network-based approach improves accuracy,HAS_RESULTS,1.0
Paper_3,finding patterns of convergence,HAS_PURPOSE,1.0
Paper_3,identify variables affecting convergence,HAS_PURPOSE,1.0
Paper_3,technological convergence in robotics,HAS_BACKGROUND,1.0
Paper_3,network analysis of patents,HAS_BACKGROUND,1.0
Paper_3,quadratic assignment procedures,HAS_METHODOLOGY,1.0
Paper_3,QAP,HAS_METHODOLOGY,1.0
Paper_3,patent network analysis,HAS_METHODOLOGY,1.0
Paper_3,patent network ecology related to convergence,HAS_RESULTS,1.0
Paper_3,technologies with potential to converge,HAS_RESULTS,1.0
Paper_3,convergence-based R&D policies,HAS_RESULTS,1.0
Paper_4,understand quantum ecosystem,HAS_PURPOSE,1.0
Paper_4,push quantum movements,HAS_PURPOSE,1.0
Paper_4,quantum technologies transformative,HAS_BACKGROUND,1.0
Paper_4,quantum ecosystem critical,HAS_BACKGROUND,1.0
Paper_4,articles lack interconnected relations,HAS_BACKGROUND,1.0
Paper_4,innovation ecosystem theory,HAS_METHODOLOGY,1.0
Paper_4,social-technical system theory,HAS_METHODOLOGY,1.0
Paper_4,patent network analysis,HAS_METHODOLOGY,1.0
Paper_4,quantum computation subfield,HAS_RESULTS,1.0
Paper_4,long-term attributes backgrounds,HAS_RESULTS,1.0
Paper_4,path toward focal actor,HAS_RESULTS,1.0
Paper_5,structure technology convergence network,HAS_PURPOSE,1.0
Paper_5,integrate different results,HAS_PURPOSE,1.0
Paper_5,analyze patent network characteristics,HAS_PURPOSE,1.0
Paper_5,large database of patent,HAS_BACKGROUND,1.0
Paper_5,technology convergence,HAS_BACKGROUND,1.0
Paper_5,previous work on patent network,HAS_BACKGROUND,1.0
Paper_5,patent co-class analysis,HAS_METHODOLOGY,1.0
Paper_5,patent citation analysis,HAS_METHODOLOGY,1.0
Paper_5,centrality analysis,HAS_METHODOLOGY,1.0
Paper_5,association rule mining,HAS_METHODOLOGY,1.0
Paper_5,brokerage network analysis,HAS_METHODOLOGY,1.0
Paper_5,core safety fields compared,HAS_RESULTS,1.0
Paper_5,medical safety,HAS_RESULTS,1.0
Paper_5,working safety,HAS_RESULTS,1.0
Paper_5,vehicle safety,HAS_RESULTS,1.0
Paper_5,detailed technology in core patent class,HAS_RESULTS,1.0
Paper_5,implications for stakeholders,HAS_RESULTS,1.0
Paper_5,support collective decision making,HAS_RESULTS,1.0
Paper_6,Propose a novel patent network-based classification method,HAS_PURPOSE,1.0
Paper_6,Patent management is essential for competitive advantage,HAS_BACKGROUND,1.0
Paper_6,Classification of patents is essential for patent management,HAS_BACKGROUND,1.0
Paper_6,Construct patent network with various types of nodes,HAS_METHODOLOGY,1.0
Paper_6,Analyze reachable nodes in patent ontology network,HAS_METHODOLOGY,1.0
Paper_6,Use modified k-nearest neighbor classifier,HAS_METHODOLOGY,1.0
Paper_6,Evaluate performance on USPTO dataset,HAS_METHODOLOGY,1.0
Paper_6,Compare with conventional methods,HAS_METHODOLOGY,1.0
Paper_6,Proposed approach outperforms conventional approaches,HAS_RESULTS,1.0
Paper_6,Demonstrate superior performance on test dataset,HAS_RESULTS,1.0
Paper_7,improve efficiency and quality of patent analysis,HAS_PURPOSE,1.0
Paper_7,patent network analysis is a useful tool for technology management,HAS_BACKGROUND,1.0
Paper_7,traditional methods of patent analysis exist,HAS_BACKGROUND,1.0
Paper_7,current method has limitations,HAS_BACKGROUND,1.0
Paper_7,artificial intelligence techniques,HAS_METHODOLOGY,1.0
Paper_7,automated procedure for searching patent documents,HAS_METHODOLOGY,1.0
Paper_7,extracting patent keywords,HAS_METHODOLOGY,1.0
Paper_7,determining weight of each patent keyword,HAS_METHODOLOGY,1.0
Paper_7,generate sophisticated visualization,HAS_METHODOLOGY,1.0
Paper_7,proposes a novel method called intelligent patent network analysis,HAS_RESULTS,1.0
Paper_7,method enables visual network with great precision,HAS_RESULTS,1.0
Paper_7,verified utility with CNT-BLU patents,HAS_RESULTS,1.0
Paper_8,Study appropriability efforts,HAS_PURPOSE,1.0
Paper_8,Analyze technological trajectories,HAS_PURPOSE,1.0
Paper_8,Patent citations networks,HAS_BACKGROUND,1.0
Paper_8,Genetically modified organisms,HAS_BACKGROUND,1.0
Paper_8,Identify technological trajectories,HAS_METHODOLOGY,1.0
Paper_8,Study scale-free networks,HAS_METHODOLOGY,1.0
Paper_8,Legal enforcement indicators,HAS_METHODOLOGY,1.0
Paper_8,Effective in collecting royalties,HAS_RESULTS,1.0
Paper_8,Deterring potential entrants,HAS_RESULTS,1.0
Paper_8,Delaying R&D investments,HAS_RESULTS,1.0
Paper_9,Propose a two-stage retrieval strategy,HAS_PURPOSE,1.0
Paper_9,Systematic method for patent network analysis,HAS_PURPOSE,1.0
Paper_9,Patent analysis of cloud computing,HAS_BACKGROUND,1.0
Paper_9,Few attempts made,HAS_BACKGROUND,1.0
Paper_9,Rise of cloud computing technology,HAS_BACKGROUND,1.0
Paper_9,Bibliometric and network analyses,HAS_METHODOLOGY,1.0
Paper_9,Two-stage patent retrieval method,HAS_METHODOLOGY,1.0
Paper_9,Gray relational-based cluster analysis,HAS_METHODOLOGY,1.0
Paper_9,Visual networks and technology centrality indexes,HAS_METHODOLOGY,1.0
Paper_9,Identify patents belonging to cloud computing,HAS_RESULTS,1.0
Paper_9,Reveal overall patent structure,HAS_RESULTS,1.0
Paper_9,Identify key technologies,HAS_RESULTS,1.0
Paper_9,Provide valuable reference for enterprises,HAS_RESULTS,1.0
Paper_10,explore changes in global innovation networks,HAS_PURPOSE,1.0
Paper_10,driving forces,HAS_PURPOSE,1.0
Paper_10,global patent cooperation data,HAS_BACKGROUND,1.0
Paper_10,1999 to 2020,HAS_BACKGROUND,1.0
Paper_10,previous work,HAS_BACKGROUND,1.0
Paper_10,social network analysis,HAS_METHODOLOGY,1.0
Paper_10,global innovation networks,HAS_METHODOLOGY,1.0
Paper_10,factor identification,HAS_METHODOLOGY,1.0
Paper_10,network accessibility improved,HAS_RESULTS,1.0
Paper_10,scale-free network characteristics,HAS_RESULTS,1.0
Paper_10,China's position increasing,HAS_RESULTS,1.0
measure firm-level technology convergence capability,understand innovation strategy for technological capabilities,RELATED_TO,0.6784703521525918
measure firm-level technology convergence capability,finding patterns of convergence,RELATED_TO,0.6139399928850291
measure firm-level technology convergence capability,identify variables affecting convergence,RELATED_TO,0.6191737264695514
measure firm-level technology convergence capability,structure technology convergence network,RELATED_TO,0.761953997290195
measure firm-level technology convergence capability,analyze patent network characteristics,RELATED_TO,0.576185214951777
measure firm-level technology convergence capability,Propose a novel patent network-based classification method,RELATED_TO,0.5141158361779459
measure firm-level technology convergence capability,Analyze technological trajectories,RELATED_TO,0.5203213155154438
measure firm-level technology convergence capability,Systematic method for patent network analysis,RELATED_TO,0.5369941792695654
measure firm-level technology convergence capability,explore changes in global innovation networks,RELATED_TO,0.5490912447025637
understand innovation strategy for technological capabilities,Propose hybrid-patent-classification approach,RELATED_TO,0.5159826539841962
understand innovation strategy for technological capabilities,structure technology convergence network,RELATED_TO,0.569704683089439
understand innovation strategy for technological capabilities,analyze patent network characteristics,RELATED_TO,0.507084553700197
understand innovation strategy for technological capabilities,Study appropriability efforts,RELATED_TO,0.5039922644084815
understand innovation strategy for technological capabilities,Analyze technological trajectories,RELATED_TO,0.611044529976038
understand innovation strategy for technological capabilities,explore changes in global innovation networks,RELATED_TO,0.5469910108813273
Propose hybrid-patent-classification approach,analyze patent network characteristics,RELATED_TO,0.6356668124064467
Propose hybrid-patent-classification approach,Propose a novel patent network-based classification method,RELATED_TO,0.8288408124043225
Propose hybrid-patent-classification approach,improve efficiency and quality of patent analysis,RELATED_TO,0.6774496033210348
Propose hybrid-patent-classification approach,Analyze technological trajectories,RELATED_TO,0.5066173949637242
Propose hybrid-patent-classification approach,Systematic method for patent network analysis,RELATED_TO,0.714546018177233
finding patterns of convergence,identify variables affecting convergence,RELATED_TO,0.7765334697136728
finding patterns of convergence,structure technology convergence network,RELATED_TO,0.6403880598493001
finding patterns of convergence,Systematic method for patent network analysis,RELATED_TO,0.5103394978344086
identify variables affecting convergence,structure technology convergence network,RELATED_TO,0.6055374567263557
identify variables affecting convergence,integrate different results,RELATED_TO,0.5413526178561131
identify variables affecting convergence,analyze patent network characteristics,RELATED_TO,0.5205707448992163
understand quantum ecosystem,push quantum movements,RELATED_TO,0.5931352545320905
push quantum movements,Analyze technological trajectories,RELATED_TO,0.51942635536817
structure technology convergence network,analyze patent network characteristics,RELATED_TO,0.5886878449520756
structure technology convergence network,Propose a novel patent network-based classification method,RELATED_TO,0.5524832634622199
structure technology convergence network,Analyze technological trajectories,RELATED_TO,0.5700276728128667
structure technology convergence network,Systematic method for patent network analysis,RELATED_TO,0.5720670485068032
structure technology convergence network,explore changes in global innovation networks,RELATED_TO,0.6351334217730756
analyze patent network characteristics,Propose a novel patent network-based classification method,RELATED_TO,0.8055073389496746
