Id,Label,Type
Technology transfer of patents is essential for IP-R&D but traditional qualitative methods are time‑ and cost‑intensive.,Technology transfer of patents is essential for IP-R&D but traditional qualitative methods are time‑ and cost‑intensive.,Entity
Patent classification data provides a comprehensive source for analyzing technological relationships.,Patent classification data provides a comprehensive source for analyzing technological relationships.,Entity
"Current studies lack detailed illustration of the ecosystem’s interconnected relations, essential elements, and long‑term technology attributes.","Current studies lack detailed illustration of the ecosystem’s interconnected relations, essential elements, and long‑term technology attributes.",Entity
Focus on restricted geographical contexts such as cities or clusters,Focus on restricted geographical contexts such as cities or clusters,Entity
Patent analysis is essential for understanding target technologies.,Patent analysis is essential for understanding target technologies.,Entity
Strategic intentions in patent transaction markets have become a focus of technology transfer strategies.,Strategic intentions in patent transaction markets have become a focus of technology transfer strategies.,Entity
"Patent documents lack explicit keyword information, limiting keyword‑based technology prediction methods.","Patent documents lack explicit keyword information, limiting keyword‑based technology prediction methods.",Entity
Existing patent infringement detection methods are immature and need improvement.,Existing patent infringement detection methods are immature and need improvement.,Entity
Rapid developments in robotics have spurred active technological convergence.,Rapid developments in robotics have spurred active technological convergence.,Entity
Rapid growth of green transportation technologies in China driven by climate change and pollution concerns.,Rapid growth of green transportation technologies in China driven by climate change and pollution concerns.,Entity
Inter-firm collaborative innovation is critical in the Korean ICT industry.,Inter-firm collaborative innovation is critical in the Korean ICT industry.,Entity
Accurate classification of patents,Accurate classification of patents,Entity
Endometriosis is a chronic gynecological condition requiring effective treatments.,Endometriosis is a chronic gynecological condition requiring effective treatments.,Entity
Existing literature describes technology innovation as incremental and cumulative along established trajectories.,Existing literature describes technology innovation as incremental and cumulative along established trajectories.,Entity
Growing interest in Sino‑South Korea collaborations in science and technology.,Growing interest in Sino‑South Korea collaborations in science and technology.,Entity
"Chinese patent medicines are widely used in China for dementia, but comparative efficacy with Western medicine is unclear.","Chinese patent medicines are widely used in China for dementia, but comparative efficacy with Western medicine is unclear.",Entity
5G technology,5G technology,Entity
Only about 11% of energy‑saving enterprises in China engage in R&D activities.,Only about 11% of energy‑saving enterprises in China engage in R&D activities.,Entity
"Insomnia is commonly treated with pharmacotherapy, but the efficacy and safety of Chinese patent medicines for insomnia remain unclear.","Insomnia is commonly treated with pharmacotherapy, but the efficacy and safety of Chinese patent medicines for insomnia remain unclear.",Entity
Changes in R&D activities can reflect shifts in firm strategy,Changes in R&D activities can reflect shifts in firm strategy,Entity
There is a scarcity of research on blockchain innovation paths from a patent analysis perspective.,There is a scarcity of research on blockchain innovation paths from a patent analysis perspective.,Entity
Previous research has not fully examined how design hierarchy and emerging use environments affect knowledge evolution.,Previous research has not fully examined how design hierarchy and emerging use environments affect knowledge evolution.,Entity
Neural methods like Kohonen SOM need extensions to incorporate viewpoint and dynamic inter-map communication.,Neural methods like Kohonen SOM need extensions to incorporate viewpoint and dynamic inter-map communication.,Entity
"Countries worldwide are integrating blockchain into finance, logistics, and healthcare sectors.","Countries worldwide are integrating blockchain into finance, logistics, and healthcare sectors.",Entity
Analyzing blockchain's developmental trajectories can inform research and development strategies.,Analyzing blockchain's developmental trajectories can inform research and development strategies.,Entity
Existing literature links innovation to economic development,Existing literature links innovation to economic development,Entity
Predicting future knowledge flow in technology domains using patent co‑citation analysis.,Predicting future knowledge flow in technology domains using patent co‑citation analysis.,Entity
"Traditional technology analysis methods are mainly qualitative, such as Delphi surveys.","Traditional technology analysis methods are mainly qualitative, such as Delphi surveys.",Entity
Prior evidence suggests an imbalance between scientific and technological knowledge dynamics.,Prior evidence suggests an imbalance between scientific and technological knowledge dynamics.,Entity
Effective patent management is essential for maintaining competitive advantage.,Effective patent management is essential for maintaining competitive advantage.,Entity
Patent network analysis visually displays relationships among patents and aids technology management.,Patent network analysis visually displays relationships among patents and aids technology management.,Entity
Comparative evidence on the efficacy of these formulations versus standard therapies is limited.,Comparative evidence on the efficacy of these formulations versus standard therapies is limited.,Entity
"Rapid growth of cloud computing has attracted many IT manufacturers, yet patent analysis in this area remains scarce.","Rapid growth of cloud computing has attracted many IT manufacturers, yet patent analysis in this area remains scarce.",Entity
"Multiple pharmacotherapeutic options (indomethacin, ibuprofen, acetaminophen) are available, creating a practical challenge for clinicians.","Multiple pharmacotherapeutic options (indomethacin, ibuprofen, acetaminophen) are available, creating a practical challenge for clinicians.",Entity
Patent analysis is a powerful technique for large companies to gain competitive insights.,Patent analysis is a powerful technique for large companies to gain competitive insights.,Entity
Link prediction algorithms applied to co‑citation networks can reveal emerging relationships.,Link prediction algorithms applied to co‑citation networks can reveal emerging relationships.,Entity
Technology policy formulation for universities is well-discussed but lacks analytic research,Technology policy formulation for universities is well-discussed but lacks analytic research,Entity
Growing interest in intellectual property and innovation institutions during the 1990s,Growing interest in intellectual property and innovation institutions during the 1990s,Entity
Traditional dominance of the EU and US in African technology markets,Traditional dominance of the EU and US in African technology markets,Entity
Early diabetic nephropathy,Early diabetic nephropathy,Entity
Understanding the structure and evolution of technology networks across fields is essential for mapping knowledge flows.,Understanding the structure and evolution of technology networks across fields is essential for mapping knowledge flows.,Entity
"Patent values are highly skewed, prompting the use of weighted measures instead of simple counts.","Patent values are highly skewed, prompting the use of weighted measures instead of simple counts.",Entity
Economic competitiveness increasingly depends on technological prowess.,Economic competitiveness increasingly depends on technological prowess.,Entity
Convergence of manufacturing technology with Industry 4.0 increases the need for firm-level innovation strategies.,Convergence of manufacturing technology with Industry 4.0 increases the need for firm-level innovation strategies.,Entity
Biorefineries aim to produce value-added products and biofuels from biomass but face challenges in technical efficiency and economic feasibility.,Biorefineries aim to produce value-added products and biofuels from biomass but face challenges in technical efficiency and economic feasibility.,Entity
"Policy discourse research uses actor-centered and content-oriented approaches, which remain separated.","Policy discourse research uses actor-centered and content-oriented approaches, which remain separated.",Entity
Patents contain vast amounts of textual data that make manual knowledge extraction difficult for experts.,Patents contain vast amounts of textual data that make manual knowledge extraction difficult for experts.,Entity
Existing research lacks analytical tools for patent citation network analysis from a technology dynamics perspective.,Existing research lacks analytical tools for patent citation network analysis from a technology dynamics perspective.,Entity
Few studies have analyzed collaborative technology innovation in this field using patent data.,Few studies have analyzed collaborative technology innovation in this field using patent data.,Entity
"The study uses a novel dataset of US inventors' patent applications at the European Patent Office in drugs, biotechnology, and organic chemistry.","The study uses a novel dataset of US inventors' patent applications at the European Patent Office in drugs, biotechnology, and organic chemistry.",Entity
"Traditional information analysis tools handle domains globally, lacking support for multiple viewpoints needed in complex patent analysis.","Traditional information analysis tools handle domains globally, lacking support for multiple viewpoints needed in complex patent analysis.",Entity
Stable angina has high morbidity and mortality; combining oral Chinese patent medicines (OCPMs) with Western medicine (WM) may improve outcomes.,Stable angina has high morbidity and mortality; combining oral Chinese patent medicines (OCPMs) with Western medicine (WM) may improve outcomes.,Entity
"Traditional platform planning relies on heuristic, manual approaches based largely on expert intuition.","Traditional platform planning relies on heuristic, manual approaches based largely on expert intuition.",Entity
Effective partnerships require consideration of the distinct capabilities of large firms and SMEs.,Effective partnerships require consideration of the distinct capabilities of large firms and SMEs.,Entity
Patent citation network is an evolving graph representing societal innovation.,Patent citation network is an evolving graph representing societal innovation.,Entity
Existing evidence from randomized controlled trials is scattered and of variable quality.,Existing evidence from randomized controlled trials is scattered and of variable quality.,Entity
"Patent filing data can reveal patterns of collaboration among firms, universities, and research institutes.","Patent filing data can reveal patterns of collaboration among firms, universities, and research institutes.",Entity
Blockchain is recognized as an emerging global phenomenon in new technologies.,Blockchain is recognized as an emerging global phenomenon in new technologies.,Entity
Existing literature lacks quantitative measures of a firm's technology convergence (TC) capability.,Existing literature lacks quantitative measures of a firm's technology convergence (TC) capability.,Entity
Joint‑patent collaborations represent a potential network for knowledge exchange.,Joint‑patent collaborations represent a potential network for knowledge exchange.,Entity
Strategic planning in technology domains requires knowledge of a nation's current position and that of other nations.,Strategic planning in technology domains requires knowledge of a nation's current position and that of other nations.,Entity
The optimal OCPM regimen for stable angina remains uncertain and requires further research.,The optimal OCPM regimen for stable angina remains uncertain and requires further research.,Entity
"A sustainable implementation model is lacking, limiting broader adoption.","A sustainable implementation model is lacking, limiting broader adoption.",Entity
Large patent databases enable analysis of technology convergence in safety domains,Large patent databases enable analysis of technology convergence in safety domains,Entity
Openness of the innovation process affects organizational capacity,Openness of the innovation process affects organizational capacity,Entity
Structural holes and prominent network positions are thought to critically affect exploratory innovation.,Structural holes and prominent network positions are thought to critically affect exploratory innovation.,Entity
Hyperlipidaemia is a prevalent metabolic disorder requiring effective treatment.,Hyperlipidaemia is a prevalent metabolic disorder requiring effective treatment.,Entity
"Understanding the evolutionary mechanisms, especially homophily, of such networks is needed.","Understanding the evolutionary mechanisms, especially homophily, of such networks is needed.",Entity
A citation indicates that a later patent builds upon prior knowledge from the cited patent.,A citation indicates that a later patent builds upon prior knowledge from the cited patent.,Entity
Patent data can be accessed via the OPS web service.,Patent data can be accessed via the OPS web service.,Entity
"Alzheimer's disease lacks effective treatment options, prompting investigation of alternative therapies.","Alzheimer's disease lacks effective treatment options, prompting investigation of alternative therapies.",Entity
Existing literature lacks a comprehensive mapping of sub‑areas and emerging topics in humanoid technology.,Existing literature lacks a comprehensive mapping of sub‑areas and emerging topics in humanoid technology.,Entity
Understanding development trends and technical hot spots requires systematic patent analysis.,Understanding development trends and technical hot spots requires systematic patent analysis.,Entity
Prior research has examined the effects of national and sectoral factors on networking phenomena.,Prior research has examined the effects of national and sectoral factors on networking phenomena.,Entity
Patent analysis can reveal technological capabilities and collaboration opportunities.,Patent analysis can reveal technological capabilities and collaboration opportunities.,Entity
Complex network analysis offers a powerful approach to capture interconnections in technological development.,Complex network analysis offers a powerful approach to capture interconnections in technological development.,Entity
Citation analysis has critical drawbacks that limit its effectiveness.,Citation analysis has critical drawbacks that limit its effectiveness.,Entity
International technology transfer drives national revenue and economic growth,International technology transfer drives national revenue and economic growth,Entity
Existing literature lacks detailed descriptions of blockchain cooperation characteristics and its innovation landscape.,Existing literature lacks detailed descriptions of blockchain cooperation characteristics and its innovation landscape.,Entity
Emerging technologies need to be predicted by analyzing patent data.,Emerging technologies need to be predicted by analyzing patent data.,Entity
The question of whether lone inventors are more or less likely to produce breakthrough inventions remains unresolved.,The question of whether lone inventors are more or less likely to produce breakthrough inventions remains unresolved.,Entity
Technology forecasting is essential for understanding development trends and supporting scientific research management.,Technology forecasting is essential for understanding development trends and supporting scientific research management.,Entity
Social network analysis is increasingly used in economic geography but its full potential for regional issues remains underexploited.,Social network analysis is increasingly used in economic geography but its full potential for regional issues remains underexploited.,Entity
"Artificial intelligence is widely applied across technological fields, including disaster response.","Artificial intelligence is widely applied across technological fields, including disaster response.",Entity
"5G networks demand high reliability, low latency, precise automatic control, secure covert transmission, and evidence traceability.","5G networks demand high reliability, low latency, precise automatic control, secure covert transmission, and evidence traceability.",Entity
"Long‑term structural evolution of the telecommunications switching industry, focusing on both technology and firm levels.","Long‑term structural evolution of the telecommunications switching industry, focusing on both technology and firm levels.",Entity
"IoT is the third wave of the information industry, with cloud computing as a key technology.","IoT is the third wave of the information industry, with cloud computing as a key technology.",Entity
Need to understand the evolution and driving forces of global innovation networks and China's role,Need to understand the evolution and driving forces of global innovation networks and China's role,Entity
