Source,Target,Type,Weight
Paper_1,Convergence between manufacturing technology and Industry 4.0 foundation technologies increases the importance of innovation strategy formulation,HAS_BACKGROUND,1.0
Paper_1,Existing research lacks firm-level measurement of technology convergence capability,HAS_BACKGROUND,1.0
Paper_1,Structure a technology convergence network using various patent network analysis methods,HAS_PURPOSE,1.0
Paper_1,Analyze the effect of TC capabilities on different types of innovation in manufacturing firms,HAS_PURPOSE,1.0
Paper_1,Patent network analysis using patent citation data to analyze knowledge flow among technological fields,HAS_METHODOLOGY,1.0
Paper_1,Three centrality indices used to measure TC capabilities,HAS_METHODOLOGY,1.0
Paper_1,Panel regression analysis on top 30 firms in four manufacturing industries,HAS_METHODOLOGY,1.0
Paper_1,TC degree positively influences total number of patents (overall innovation),HAS_RESULTS,1.0
Paper_1,TC degree negatively influences convergent innovation (ratio of TC patents to total patents),HAS_RESULTS,1.0
Paper_1,TC betweenness has opposite effects compared to TC degree,HAS_RESULTS,1.0
Paper_2,Effective patent management is essential for organizations to maintain competitive advantage,HAS_BACKGROUND,1.0
Paper_2,Patent classification is a critical part of patent management and industrial analysis,HAS_BACKGROUND,1.0
Paper_2,Existing conventional classification methods have limitations that need improvement,HAS_BACKGROUND,1.0
Paper_2,Propose a hybrid patent classification approach combining novel patent-network-based method with three conventional methods,HAS_PURPOSE,1.0
Paper_2,Predict patent classes by analyzing query patents through multiple classification approaches,HAS_PURPOSE,1.0
Paper_2,Novel patent network containing various node types representing different features extracted from patent documents,HAS_METHODOLOGY,1.0
Paper_2,Nodes connected based on relationship metrics derived from patent metadata,HAS_METHODOLOGY,1.0
Paper_2,Classification using modified k-nearest neighbor classifier analyzing all reachable nodes,HAS_METHODOLOGY,1.0
Paper_2,"Combined with content-based, citation-based, and metadata-based classification methods",HAS_METHODOLOGY,1.0
Paper_2,Evaluated on patent documents from U.S. Patent and Trademark Office,HAS_METHODOLOGY,1.0
Paper_2,Proposed patent-network-based approach yields more accurate class predictions than conventional methods,HAS_RESULTS,1.0
Paper_2,Hybrid approach demonstrates improved performance compared to three conventional classification methods,HAS_RESULTS,1.0
Paper_3,Recent remarkable developments in robotics have led to active technological convergence in this field,HAS_BACKGROUND,1.0
Paper_3,There is a need to identify patterns of technological convergence within robotics,HAS_BACKGROUND,1.0
Paper_3,To identify patterns of convergence within robot technology using patent network analysis,HAS_PURPOSE,1.0
Paper_3,To find technologies with high potential to converge with other robotics technologies,HAS_PURPOSE,1.0
Paper_3,To contribute to establishing convergence-based R&D policies for robotics innovation,HAS_PURPOSE,1.0
Paper_3,Analysis of patent data from USPTO and KIPO,HAS_METHODOLOGY,1.0
Paper_3,Quadratic assignment procedures (QAP) used to identify variables affecting convergence,HAS_METHODOLOGY,1.0
Paper_3,Identified patent network ecology related to convergence in robotics,HAS_RESULTS,1.0
Paper_3,Discovered technologies with great potential to converge with other robotics technologies,HAS_RESULTS,1.0
Paper_4,"Current articles barely illustrate the interconnected relations, essential elements, and long-term attributes of developing quantum technologies",HAS_BACKGROUND,1.0
Paper_4,There is a lack of comprehensive analysis of quantum ecosystems that synergize social and scientific & technological activities,HAS_BACKGROUND,1.0
Paper_4,Research gap exists in understanding how innovation ecosystem and social-technical system theories apply to quantum technologies,HAS_BACKGROUND,1.0
Paper_4,Apply innovation ecosystem and social-technical system theories to bridge research gaps in quantum ecosystem analysis,HAS_PURPOSE,1.0
Paper_4,"Analyze the patent network to understand focal actors, main technological clusters and technological trajectory",HAS_PURPOSE,1.0
Paper_4,Illustrate long-term attributes and provide insights into paths toward focal actors in quantum ecosystem development,HAS_PURPOSE,1.0
Paper_4,Patent network analysis method applied to quantum technologies,HAS_METHODOLOGY,1.0
Paper_4,Innovation ecosystem and social-technical system theoretical frameworks,HAS_METHODOLOGY,1.0
Paper_4,Multi-level perspective framework for analysis,HAS_METHODOLOGY,1.0
