Id,Label,Type
Convergence of manufacturing technology with Industry 4.0 foundations increases the need for firms to develop innovation strategies for technological capabilities.,Convergence of manufacturing technology with Industry 4.0 foundations increases the need for firms to develop innovation strategies for technological capabilities.,Background
Effective patent management is crucial for organizations to maintain competitive advantage.,Effective patent management is crucial for organizations to maintain competitive advantage.,Background
Patent classification is a critical component of patent management and industrial analysis.,Patent classification is a critical component of patent management and industrial analysis.,Background
Recent remarkable developments in robotics have spurred active technological convergence.,Recent remarkable developments in robotics have spurred active technological convergence.,Background
"Quantum technologies are reshaping society, but the concept of a supporting quantum ecosystem is under‑described in the literature.","Quantum technologies are reshaping society, but the concept of a supporting quantum ecosystem is under‑described in the literature.",Background
"Existing studies lack detailed depiction of the ecosystem’s interconnected relations, essential elements, and long‑term technological attributes.","Existing studies lack detailed depiction of the ecosystem’s interconnected relations, essential elements, and long‑term technological attributes.",Background
Large patent databases contain extensive safety-related technological information.,Large patent databases contain extensive safety-related technological information.,Background
Understanding technology convergence in safety domains requires integrated network analysis.,Understanding technology convergence in safety domains requires integrated network analysis.,Background
Patent management is crucial for maintaining competitive advantage.,Patent management is crucial for maintaining competitive advantage.,Background
Effective classification of patents is essential for management and industrial analysis.,Effective classification of patents is essential for management and industrial analysis.,Background
Patent network analysis provides visual relationships among patents but suffers from crucial limitations.,Patent network analysis provides visual relationships among patents but suffers from crucial limitations.,Background
"Plant biotechnology has become a radical agricultural innovation, leading to increased patenting by universities, biotech firms, and seed/agrochemical companies.","Plant biotechnology has become a radical agricultural innovation, leading to increased patenting by universities, biotech firms, and seed/agrochemical companies.",Background
Understanding appropriability efforts shaping the emergence and dynamics of technological trajectories (TTs) for genetically modified organisms is needed.,Understanding appropriability efforts shaping the emergence and dynamics of technological trajectories (TTs) for genetically modified organisms is needed.,Background
Rapid growth of cloud computing technology has led many IT manufacturers to enter the market.,Rapid growth of cloud computing technology has led many IT manufacturers to enter the market.,Background
There have been few prior attempts at conducting patent analysis specifically for cloud computing.,There have been few prior attempts at conducting patent analysis specifically for cloud computing.,Background
Growing interest in how global innovation networks (GINs) have evolved over recent decades,Growing interest in how global innovation networks (GINs) have evolved over recent decades,Background
Need to assess China's role within the worldwide innovation system,Need to assess China's role within the worldwide innovation system,Background
Technology fusion phenomena are increasingly observed in the solar photovoltaic (PV) industry.,Technology fusion phenomena are increasingly observed in the solar photovoltaic (PV) industry.,Background
"Understanding the characteristics of such fusion is important for innovation policy, especially in South Korea.","Understanding the characteristics of such fusion is important for innovation policy, especially in South Korea.",Background
Nation-level technology strategy requires understanding of current positions within a technology domain.,Nation-level technology strategy requires understanding of current positions within a technology domain.,Background
Existing assessments lack a systematic way to map nations' patent activities across related technological fields.,Existing assessments lack a systematic way to map nations' patent activities across related technological fields.,Background
Knowledge spillovers are imperfect and differ across firms and nations.,Knowledge spillovers are imperfect and differ across firms and nations.,Background
Regional institutions and labor networks are expected to shape the localization of spillovers.,Regional institutions and labor networks are expected to shape the localization of spillovers.,Background
"Traditional statistical methods struggle to capture complex, dynamic technological interconnections during evolution.","Traditional statistical methods struggle to capture complex, dynamic technological interconnections during evolution.",Background
Patents contain rich sequential information useful for analyzing technology development.,Patents contain rich sequential information useful for analyzing technology development.,Background
IoT is considered the third wave of the information industry.,IoT is considered the third wave of the information industry.,Background
Cloud computing is a key technology within IoT.,Cloud computing is a key technology within IoT.,Background
Product-system platforms aim to lower cost and lead time while balancing economy of scope and economy of scale.,Product-system platforms aim to lower cost and lead time while balancing economy of scope and economy of scale.,Background
"Traditional platform planning relies on heuristic, manual approaches and expert intuition.","Traditional platform planning relies on heuristic, manual approaches and expert intuition.",Background
Increasing interest in Sino‑South Korea collaborations in science and technology.,Increasing interest in Sino‑South Korea collaborations in science and technology.,Background
Need to understand university–industry–government (UIG) relations embedded in co‑authored papers and co‑assigned patents.,Need to understand university–industry–government (UIG) relations embedded in co‑authored papers and co‑assigned patents.,Background
"Existing literature links innovation capacity to economic development, but the absorptive and connectivity capacities of Latin American innovation systems remain underexplored.","Existing literature links innovation capacity to economic development, but the absorptive and connectivity capacities of Latin American innovation systems remain underexplored.",Background
Analysis of scientific articles and patents to track evolving trends in humanoid robot research.,Analysis of scientific articles and patents to track evolving trends in humanoid robot research.,Background
Previous randomized trials have compared coronary bypass conduit patency only via pairwise comparisons.,Previous randomized trials have compared coronary bypass conduit patency only via pairwise comparisons.,Background
A comprehensive evaluation of all conduit types' patency rates has not been published.,A comprehensive evaluation of all conduit types' patency rates has not been published.,Background
"Identifying technology convergence is increasingly difficult in fast‑evolving, cross‑technological domains.","Identifying technology convergence is increasingly difficult in fast‑evolving, cross‑technological domains.",Background
Patent citation analysis has become increasingly popular over recent decades.,Patent citation analysis has become increasingly popular over recent decades.,Background
Existing studies lack a statistical network perspective on patent citations.,Existing studies lack a statistical network perspective on patent citations.,Background
The Internet of Things (IoT) is rapidly expanding and becoming pervasive through smartphones.,The Internet of Things (IoT) is rapidly expanding and becoming pervasive through smartphones.,Background
Patents contain valuable information about the development and application of IoT across various fields.,Patents contain valuable information about the development and application of IoT across various fields.,Background
Patent documents contain vast technical knowledge but are difficult for experts to analyze subjectively.,Patent documents contain vast technical knowledge but are difficult for experts to analyze subjectively.,Background
"Existing statistical and data mining methods have been used for patent analysis, yet objective trend forecasting remains challenging.","Existing statistical and data mining methods have been used for patent analysis, yet objective trend forecasting remains challenging.",Background
Technology trend forecasting traditionally relies on expert experience rather than systematic analysis.,Technology trend forecasting traditionally relies on expert experience rather than systematic analysis.,Background
Cryptogenic stroke in patients <60 years often involves a patent foramen ovale (PFO).,Cryptogenic stroke in patients <60 years often involves a patent foramen ovale (PFO).,Background
Optimal management (PFO closure vs medical therapy) remains uncertain.,Optimal management (PFO closure vs medical therapy) remains uncertain.,Background
The need for open innovation strategies in the emerging Urban Air Mobility (UAM) sector.,The need for open innovation strategies in the emerging Urban Air Mobility (UAM) sector.,Background
Lack of existing methods to assess patent impact and cooperation networks among leading UAM firms.,Lack of existing methods to assess patent impact and cooperation networks among leading UAM firms.,Background
Knowledge‑intensive activities drive technological development.,Knowledge‑intensive activities drive technological development.,Background
Technological forecasting requires insight into emerging high‑analytics information (HAI) technologies.,Technological forecasting requires insight into emerging high‑analytics information (HAI) technologies.,Background
China's increasing technological influence in Africa is reshaping value chains amid Industry 5.0,China's increasing technological influence in Africa is reshaping value chains amid Industry 5.0,Background
"Existing literature lacks a comparative analysis of China versus traditional powers (EU, US) in African tech diffusion","Existing literature lacks a comparative analysis of China versus traditional powers (EU, US) in African tech diffusion",Background
Understanding and forecasting knowledge flow in technology domains is critical for firms.,Understanding and forecasting knowledge flow in technology domains is critical for firms.,Background
Patent citation networks reflect the diffusion of knowledge across inventions.,Patent citation networks reflect the diffusion of knowledge across inventions.,Background
Existing approaches lack effective prediction of future patent co‑citations.,Existing approaches lack effective prediction of future patent co‑citations.,Background
Quantum technologies are transforming society and require a supportive quantum ecosystem.,Quantum technologies are transforming society and require a supportive quantum ecosystem.,Background
"Existing literature scarcely describes the ecosystem's interconnections, essential elements, and long‑term attributes.","Existing literature scarcely describes the ecosystem's interconnections, essential elements, and long‑term attributes.",Background
University–industry collaboration networks are crucial in the emerging interdisciplinary field of nano-biopharmaceuticals.,University–industry collaboration networks are crucial in the emerging interdisciplinary field of nano-biopharmaceuticals.,Background
Understanding how clustering and reach affect knowledge production and patent value remains limited.,Understanding how clustering and reach affect knowledge production and patent value remains limited.,Background
Neural methods are needed to map and analyze large scientific and technical document collections such as patents.,Neural methods are needed to map and analyze large scientific and technical document collections such as patents.,Background
"Traditional information analysis tools usually provide only a global view, which may be insufficient for complex, multi‑viewpoint reasoning.","Traditional information analysis tools usually provide only a global view, which may be insufficient for complex, multi‑viewpoint reasoning.",Background
"The Chinese construction industry is rapidly developing, yet research on patent cooperative patterns and their evolution, especially via patent development networks, is limited.","The Chinese construction industry is rapidly developing, yet research on patent cooperative patterns and their evolution, especially via patent development networks, is limited.",Background
Patent documents are a rich source of technical and commercial knowledge.,Patent documents are a rich source of technical and commercial knowledge.,Background
Citation analysis is the most frequently used tool for patent analysis but has crucial drawbacks.,Citation analysis is the most frequently used tool for patent analysis but has crucial drawbacks.,Background
Patent analysis is recognized as a powerful technique for large companies to gain competitive insights.,Patent analysis is recognized as a powerful technique for large companies to gain competitive insights.,Background
It serves as a shortcut for developing countries to accelerate technology development.,It serves as a shortcut for developing countries to accelerate technology development.,Background
Patent analysis can be used to monitor rival companies and diverse industries.,Patent analysis can be used to monitor rival companies and diverse industries.,Background
Geographic proximity has been thought to constrain the diffusion of knowledge across firms and regions.,Geographic proximity has been thought to constrain the diffusion of knowledge across firms and regions.,Background
Existing studies have not fully accounted for the role of mobile inventors and their collaborative networks.,Existing studies have not fully accounted for the role of mobile inventors and their collaborative networks.,Background
Smartphone emergence has rapidly transformed the mobile ecosystem.,Smartphone emergence has rapidly transformed the mobile ecosystem.,Background
Global mobile firms compete technologically to secure strong platforms.,Global mobile firms compete technologically to secure strong platforms.,Background
Relational dynamics of innovation and the influence of openness in innovation processes within restricted geographical contexts.,Relational dynamics of innovation and the influence of openness in innovation processes within restricted geographical contexts.,Background
Technological cooperation is crucial for regional innovation in Ulsan.,Technological cooperation is crucial for regional innovation in Ulsan.,Background
The structure and dynamics of technology collaboration in the region are not well understood.,The structure and dynamics of technology collaboration in the region are not well understood.,Background
Biorefineries aim to produce value-added products and biofuels but face challenges in technical efficiency and economic feasibility.,Biorefineries aim to produce value-added products and biofuels but face challenges in technical efficiency and economic feasibility.,Background
A sustainable implementation model for biorefineries remains lacking.,A sustainable implementation model for biorefineries remains lacking.,Background
Policymakers and industry need to understand factors shaping a technology’s knowledge trajectory.,Policymakers and industry need to understand factors shaping a technology’s knowledge trajectory.,Background
Existing literature views technological innovation as incremental and cumulative along specific trajectories.,Existing literature views technological innovation as incremental and cumulative along specific trajectories.,Background
Management of patent ductus arteriosus (PDA) in preterm infants is controversial.,Management of patent ductus arteriosus (PDA) in preterm infants is controversial.,Background
"Multiple pharmacotherapeutic options (indomethacin, ibuprofen, acetaminophen) are available.","Multiple pharmacotherapeutic options (indomethacin, ibuprofen, acetaminophen) are available.",Background
"5G networks require high reliability, low latency, secure transmission, and traceability.","5G networks require high reliability, low latency, secure transmission, and traceability.",Background
