Id,Label,Type
Construct a patent network based on relationships between patents and their international patent classifications.,Construct a patent network based on relationships between patents and their international patent classifications.,Methodology
"Compute three centrality indices (degree, betweenness, etc.) to quantify TC capability.","Compute three centrality indices (degree, betweenness, etc.) to quantify TC capability.",Methodology
Apply panel regression on the top 30 firms across four manufacturing industries to assess the impact on innovation metrics.,Apply panel regression on the top 30 firms across four manufacturing industries to assess the impact on innovation metrics.,Methodology
Construct a patent network where diverse node types represent extracted patent features and edges reflect relationship metrics from metadata.,Construct a patent network where diverse node types represent extracted patent features and edges reflect relationship metrics from metadata.,Methodology
Predict a query patent’s class by evaluating relevance of all reachable nodes and applying a modified k‑nearest neighbor classifier.,Predict a query patent’s class by evaluating relevance of all reachable nodes and applying a modified k‑nearest neighbor classifier.,Methodology
"Combine the network‑based classifier with content‑based, citation‑based, and metadata‑based methods to form a hybrid system and evaluate it on a USPTO test dataset.","Combine the network‑based classifier with content‑based, citation‑based, and metadata‑based methods to form a hybrid system and evaluate it on a USPTO test dataset.",Methodology
Conduct network analysis of USPTO and KIPO robot patents.,Conduct network analysis of USPTO and KIPO robot patents.,Methodology
Apply Quadratic Assignment Procedures (QAP) to determine variables influencing convergence.,Apply Quadratic Assignment Procedures (QAP) to determine variables influencing convergence.,Methodology
Integrate innovation ecosystem and socio‑technical system frameworks with a patent network analysis.,Integrate innovation ecosystem and socio‑technical system frameworks with a patent network analysis.,Methodology
"Analyze focal actors, major technological clusters, and the evolution trajectory of quantum technologies.","Analyze focal actors, major technological clusters, and the evolution trajectory of quantum technologies.",Methodology
Applied patent co‑classification analysis and patent citation analysis to identify core safety fields and technologies.,Applied patent co‑classification analysis and patent citation analysis to identify core safety fields and technologies.,Methodology
"Used three network analysis techniques—centrality analysis, association‑rule mining, and brokerage network analysis—to assess individual, synergistic, and group intensities.","Used three network analysis techniques—centrality analysis, association‑rule mining, and brokerage network analysis—to assess individual, synergistic, and group intensities.",Methodology
Construct a patent ontology network using various node types that represent features extracted from patent documents and relationship metrics derived from metadata.,Construct a patent ontology network using various node types that represent features extracted from patent documents and relationship metrics derived from metadata.,Methodology
Analyze reachable nodes to calculate relevance to query patents.,Analyze reachable nodes to calculate relevance to query patents.,Methodology
Apply a modified k-nearest neighbor classifier for classification.,Apply a modified k-nearest neighbor classifier for classification.,Methodology
Evaluate performance on a USPTO test dataset and compare with three conventional methods.,Evaluate performance on a USPTO test dataset and compare with three conventional methods.,Methodology
"Automated AI-driven workflow for searching patent documents, extracting keywords, assigning keyword weights, and visualizing the network.","Automated AI-driven workflow for searching patent documents, extracting keywords, assigning keyword weights, and visualizing the network.",Methodology
Applied the procedure to patents in the Carbon Nanotube Backlight Unit (CNT‑BLU) field as a verification case.,Applied the procedure to patents in the Carbon Nanotube Backlight Unit (CNT‑BLU) field as a verification case.,Methodology
Combine novel procedures for identifying technological trajectories with analysis of scale‑free network properties.,Combine novel procedures for identifying technological trajectories with analysis of scale‑free network properties.,Methodology
Construct and examine patent citation networks and apply the proposed legal enforcement metrics.,Construct and examine patent citation networks and apply the proposed legal enforcement metrics.,Methodology
Implement a two‑stage patent retrieval method to collect relevant cloud computing patents.,Implement a two‑stage patent retrieval method to collect relevant cloud computing patents.,Methodology
"Perform bibliometric and network analyses, including gray relational‑based cluster analysis.","Perform bibliometric and network analyses, including gray relational‑based cluster analysis.",Methodology
Use visual networks and technology centrality indexes to assess patent structures.,Use visual networks and technology centrality indexes to assess patent structures.,Methodology
Compiled global patent cooperation data (1999‑2020),Compiled global patent cooperation data (1999‑2020),Methodology
Applied social network analysis to map the structure of GINs,Applied social network analysis to map the structure of GINs,Methodology
"Performed factor identification to evaluate economic, technological, and demographic influences","Performed factor identification to evaluate economic, technological, and demographic influences",Methodology
Construction and analysis of co‑occurrence networks of International Patent Classification (IPC) codes from South Korean photovoltaic patents (2002–2016).,Construction and analysis of co‑occurrence networks of International Patent Classification (IPC) codes from South Korean photovoltaic patents (2002–2016).,Methodology
Construct a network of International Patent Classifications (IPCs) based on co-occurrence in patent applications.,Construct a network of International Patent Classifications (IPCs) based on co-occurrence in patent applications.,Methodology
Apply the Revealed Patent Application Advantage (RPAA) index to quantify each nation's effort within the IPC network.,Apply the Revealed Patent Application Advantage (RPAA) index to quantify each nation's effort within the IPC network.,Methodology
"Demonstrate the approach on the electric vehicle (EV) technology domain for China, Germany, Japan, and the United States.","Demonstrate the approach on the electric vehicle (EV) technology domain for China, Germany, Japan, and the United States.",Methodology
Analyze patent citation data for key semiconductor innovations.,Analyze patent citation data for key semiconductor innovations.,Methodology
Combine citation analysis with data on inter‑firm mobility of patent‑holding engineers.,Combine citation analysis with data on inter‑firm mobility of patent‑holding engineers.,Methodology
Conduct empirical tests of the link between engineer mobility and local knowledge transfer.,Conduct empirical tests of the link between engineer mobility and local knowledge transfer.,Methodology
Extract core terms from patent documents.,Extract core terms from patent documents.,Methodology
Build technological networks for successive time periods based on these terms.,Build technological networks for successive time periods based on these terms.,Methodology
Analyze and compare the networks; demonstrate with a case study on China's AI technologies.,Analyze and compare the networks; demonstrate with a case study on China's AI technologies.,Methodology
Selected relevant patents from the Derwent Innovations Index database.,Selected relevant patents from the Derwent Innovations Index database.,Methodology
Extracted technology‑related patents and applied patented metrology research methods.,Extracted technology‑related patents and applied patented metrology research methods.,Methodology
