Id,Label,Type
To measure firm‑level technology convergence (TC) capability using patent network analysis.,To measure firm‑level technology convergence (TC) capability using patent network analysis.,Purpose
To examine how different TC capability dimensions affect overall and convergent innovation in firms.,To examine how different TC capability dimensions affect overall and convergent innovation in firms.,Purpose
To propose a hybrid patent‑classification approach that integrates a novel patent‑network‑based method with conventional classification methods.,To propose a hybrid patent‑classification approach that integrates a novel patent‑network‑based method with conventional classification methods.,Purpose
To improve the accuracy of predicting patent classes for query patents.,To improve the accuracy of predicting patent classes for query patents.,Purpose
Identify patterns of convergence within robot technologies.,Identify patterns of convergence within robot technologies.,Purpose
Determine variables that affect convergence.,Determine variables that affect convergence.,Purpose
To bridge research gaps by applying innovation‑ecosystem and socio‑technical system theories to the study of the quantum ecosystem.,To bridge research gaps by applying innovation‑ecosystem and socio‑technical system theories to the study of the quantum ecosystem.,Purpose
"To uncover and illustrate the ecosystem’s key actors, technological clusters, and development trajectory.","To uncover and illustrate the ecosystem’s key actors, technological clusters, and development trajectory.",Purpose
To structure a technology convergence network by integrating various patent network analysis results according to network characteristics.,To structure a technology convergence network by integrating various patent network analysis results according to network characteristics.,Purpose
Develop a novel patent network-based classification method to analyze query patents and predict their classes.,Develop a novel patent network-based classification method to analyze query patents and predict their classes.,Purpose
Introduce an intelligent patent network analysis method to overcome current drawbacks.,Introduce an intelligent patent network analysis method to overcome current drawbacks.,Purpose
Enhance precision and automation in building visual patent networks.,Enhance precision and automation in building visual patent networks.,Purpose
To examine how appropriability actions influence the formation and evolution of TTs in GMO technology.,To examine how appropriability actions influence the formation and evolution of TTs in GMO technology.,Purpose
To develop legal enforcement indicators that assess the economic significance of patents within citation networks.,To develop legal enforcement indicators that assess the economic significance of patents within citation networks.,Purpose
Propose a two-stage retrieval strategy for cloud computing patents.,Propose a two-stage retrieval strategy for cloud computing patents.,Purpose
Develop a systematic method for conducting patent network analysis.,Develop a systematic method for conducting patent network analysis.,Purpose
To examine how GINs have changed from 1999 to 2020.,To examine how GINs have changed from 1999 to 2020.,Purpose
To identify the driving forces behind these changes.,To identify the driving forces behind these changes.,Purpose
To assess the shift in China's position within the global innovation network.,To assess the shift in China's position within the global innovation network.,Purpose
To analyze the characteristics and evolution of technology fusion within the South Korean solar PV sector.,To analyze the characteristics and evolution of technology fusion within the South Korean solar PV sector.,Purpose
To propose a method for positioning nations' efforts in a specific technology domain.,To propose a method for positioning nations' efforts in a specific technology domain.,Purpose
Examine how the mobility of major patent holders relates to the regional localization of technological knowledge in the semiconductor industry.,Examine how the mobility of major patent holders relates to the regional localization of technological knowledge in the semiconductor industry.,Purpose
Construct technological networks from patent‑derived core terms to map technology distribution.,Construct technological networks from patent‑derived core terms to map technology distribution.,Purpose
Compare networks across sequential periods to understand evolution and forecast future technology opportunities.,Compare networks across sequential periods to understand evolution and forecast future technology opportunities.,Purpose
Support rapid insight for R&D planning and technological commercialization.,Support rapid insight for R&D planning and technological commercialization.,Purpose
To analyze cloud computing technology development through patent data.,To analyze cloud computing technology development through patent data.,Purpose
To compare research and development capabilities between China and the United States.,To compare research and development capabilities between China and the United States.,Purpose
Propose a data‑driven method to delineate the boundary of a platform‑system.,Propose a data‑driven method to delineate the boundary of a platform‑system.,Purpose
Complement existing platform design approaches and aid designers in the architecting process.,Complement existing platform design approaches and aid designers in the architecting process.,Purpose
Explore the structure and dynamics of Sino‑Korean collaborations from a triple‑helix perspective.,Explore the structure and dynamics of Sino‑Korean collaborations from a triple‑helix perspective.,Purpose
Compare science (publications) and technology (patents) collaboration networks.,Compare science (publications) and technology (patents) collaboration networks.,Purpose
To analyze the absorptive and connectivity capacities of Latin American innovation systems from 1970 to 2017.,To analyze the absorptive and connectivity capacities of Latin American innovation systems from 1970 to 2017.,Purpose
To identify distinct innovation system trajectories and patterns of capability (de)accumulation within the region.,To identify distinct innovation system trajectories and patterns of capability (de)accumulation within the region.,Purpose
To uncover evolving topics and influential sub‑areas in humanoid robot research using publication and patent data.,To uncover evolving topics and influential sub‑areas in humanoid robot research using publication and patent data.,Purpose
To assess angiographic patency rates of all major coronary bypass conduits using a network meta‑analysis of randomized evidence.,To assess angiographic patency rates of all major coronary bypass conduits using a network meta‑analysis of randomized evidence.,Purpose
Develop a novel method to map technologies and their relationships over time.,Develop a novel method to map technologies and their relationships over time.,Purpose
Apply the method to detect dynamic patterns of convergence in the defense‑related C4ISTAR field.,Apply the method to detect dynamic patterns of convergence in the defense‑related C4ISTAR field.,Purpose
Provide a statistical perspective on patent citation network analysis.,Provide a statistical perspective on patent citation network analysis.,Purpose
"Identify the most cited patents, innovative firms, and structural properties of the network.","Identify the most cited patents, innovative firms, and structural properties of the network.",Purpose
"Apply Exponential Random Graph Models (ERGMs) to uncover social mechanisms (e.g., homophily, transitivity) influencing citations.","Apply Exponential Random Graph Models (ERGMs) to uncover social mechanisms (e.g., homophily, transitivity) influencing citations.",Purpose
To analyze IoT patents using the International Patent Classification (IPC) co‑occurrence network.,To analyze IoT patents using the International Patent Classification (IPC) co‑occurrence network.,Purpose
To uncover the structure and key nodes of IoT’s innovation path.,To uncover the structure and key nodes of IoT’s innovation path.,Purpose
Apply data mining techniques and social network analysis (SNA) to extract knowledge about emerging technologies from patent data.,Apply data mining techniques and social network analysis (SNA) to extract knowledge about emerging technologies from patent data.,Purpose
"Identify informative technology trends and influential technologies using an objective, automated approach.","Identify informative technology trends and influential technologies using an objective, automated approach.",Purpose
"To compare the relative impact of three management strategies: PFO closure plus antiplatelet therapy, antiplatelet therapy alone, and anticoagulation alone.","To compare the relative impact of three management strategies: PFO closure plus antiplatelet therapy, antiplatelet therapy alone, and anticoagulation alone.",Purpose
To develop an open innovation strategy by identifying patent impact indices and cooperation networks for leading UAM technology developers.,To develop an open innovation strategy by identifying patent impact indices and cooperation networks for leading UAM technology developers.,Purpose
To propose and validate a novel patent analysis framework tailored to the UAM field.,To propose and validate a novel patent analysis framework tailored to the UAM field.,Purpose
Explore technological routes (TR) of HAI technologies for technological forecasting using social network analysis (SNA).,Explore technological routes (TR) of HAI technologies for technological forecasting using social network analysis (SNA).,Purpose
Assist decision makers and researchers in identifying emerging HAI technologies and guiding strategic R&D investments.,Assist decision makers and researchers in identifying emerging HAI technologies and guiding strategic R&D investments.,Purpose
Examine China’s rising technological influence in Africa compared with the EU and US under the Industry 5.0 framework,Examine China’s rising technological influence in Africa compared with the EU and US under the Industry 5.0 framework,Purpose
To present a methodology that predicts future knowledge flow by forecasting patent co‑citations within a technology domain using a link‑prediction algorithm.,To present a methodology that predicts future knowledge flow by forecasting patent co‑citations within a technology domain using a link‑prediction algorithm.,Purpose
