Id,Label,Type
TC degree positively influences total number of patents but negatively influences the ratio of TC patents to total patents.,TC degree positively influences total number of patents but negatively influences the ratio of TC patents to total patents.,Results
"TC betweenness shows the opposite effect, enhancing convergent innovation while reducing overall patent counts.","TC betweenness shows the opposite effect, enhancing convergent innovation while reducing overall patent counts.",Results
Focusing on similar technologies may speed application but can limit TC potential; firms should develop technologies more likely to be involved in convergence.,Focusing on similar technologies may speed application but can limit TC potential; firms should develop technologies more likely to be involved in convergence.,Results
The hybrid approach achieved higher classification accuracy than each of the three conventional methods.,The hybrid approach achieved higher classification accuracy than each of the three conventional methods.,Results
The novel patent‑network‑based component provided more accurate class predictions compared to using only traditional methods.,The novel patent‑network‑based component provided more accurate class predictions compared to using only traditional methods.,Results
Mapped the patent network ecology related to convergence.,Mapped the patent network ecology related to convergence.,Results
Identified robot technologies with high potential to converge with others.,Identified robot technologies with high potential to converge with others.,Results
Findings can inform convergence‑based R&D policies for robotics innovation.,Findings can inform convergence‑based R&D policies for robotics innovation.,Results
"Identified focal actors, principal technology clusters, and a clear technological trajectory, aligning with existing reports.","Identified focal actors, principal technology clusters, and a clear technological trajectory, aligning with existing reports.",Results
Quantum computation emerged as a highly active subfield with intensive knowledge engagements.,Quantum computation emerged as a highly active subfield with intensive knowledge engagements.,Results
Discussion highlights long‑term attributes via the multi‑level perspective and outlines a pathway toward a focal actor.,Discussion highlights long‑term attributes via the multi‑level perspective and outlines a pathway toward a focal actor.,Results
"Identified distinct core safety fields (medical safety, occupational safety, vehicle safety) and detailed underlying technologies.","Identified distinct core safety fields (medical safety, occupational safety, vehicle safety) and detailed underlying technologies.",Results
"Demonstrated that different network algorithms reveal complementary perspectives useful for safety management, engineering, and policy-making.","Demonstrated that different network algorithms reveal complementary perspectives useful for safety management, engineering, and policy-making.",Results
Provided a novel multi‑network approach that supports collective decision‑making on safety technology convergence.,Provided a novel multi‑network approach that supports collective decision‑making on safety technology convergence.,Results
The proposed network-based approach outperforms the three conventional classification methods.,The proposed network-based approach outperforms the three conventional classification methods.,Results
Achieved more precise and efficient patent network visualizations.,Achieved more precise and efficient patent network visualizations.,Results
"Successfully generated an intelligent patent network for CNT‑BLU patents, confirming the method's utility.","Successfully generated an intelligent patent network for CNT‑BLU patents, confirming the method's utility.",Results
Two distinct technological trajectories comprising biotech trait and enabling‑technology patents were identified.,Two distinct technological trajectories comprising biotech trait and enabling‑technology patents were identified.,Results
"These patents successfully collected royalties, deterred entrants, and were involved in IP litigation influencing seed industry M&A activity.","These patents successfully collected royalties, deterred entrants, and were involved in IP litigation influencing seed industry M&A activity.",Results
"IP lawsuits appear to have delayed R&D investment by new entrants, preserving the pioneer’s monopolistic position and limiting crop‑innovation scope.","IP lawsuits appear to have delayed R&D investment by new entrants, preserving the pioneer’s monopolistic position and limiting crop‑innovation scope.",Results
The two‑stage retrieval method successfully identified patents belonging to cloud computing.,The two‑stage retrieval method successfully identified patents belonging to cloud computing.,Results
The systematic method’s effectiveness was validated through gray relational‑based cluster analysis.,The systematic method’s effectiveness was validated through gray relational‑based cluster analysis.,Results
"Visual networks and centrality indexes uncovered the overall patent structure and highlighted key cloud computing technologies, offering valuable guidance for enterprises entering the market.","Visual networks and centrality indexes uncovered the overall patent structure and highlighted key cloud computing technologies, offering valuable guidance for enterprises entering the market.",Results
"GIN accessibility continuously improved, displaying scale‑free network characteristics","GIN accessibility continuously improved, displaying scale‑free network characteristics",Results
"Key nodes remain developed countries (Europe, USA); node polarization weakened and the network formed four agglomeration subgroups with limited factionalism","Key nodes remain developed countries (Europe, USA); node polarization weakened and the network formed four agglomeration subgroups with limited factionalism",Results
"Economic and technological information factors showed the strongest correlation with network structure, while demographic factors were weaker; China's centrality rose yearly, increasingly acting as a ‘transit station’","Economic and technological information factors showed the strongest correlation with network structure, while demographic factors were weaker; China's centrality rose yearly, increasingly acting as a ‘transit station’",Results
The overall strength of technology fusion increased markedly from 2002 to 2016.,The overall strength of technology fusion increased markedly from 2002 to 2016.,Results
